Yeargroup,StudentRef,Proposed Major,High School,Exam Type,Exam Year,Exam Month,Elective Subjects,Points,Other,Applied Maths,English,Mathematics,Science,Additional Science,Religious Studies,History & Geograpy,Life & Earth Sciences,Philosophy,Biology & Earth Science,"Physics, Chemistry & Technology",Social & Political Science,Business Studies,Accounting,Economics,Economics & Social Science,Physical Science,Geom. & Bldg Drwg.,Computer Science,French,French (Oral),French (Written),Physical Education and Sport,Spanish,Law,Oral English,History,Biology,Chemistry,Physics,Geography,Philosophy ,Life Science and Earth Science,"Physical, chemical and technological sciences",English 9,English 10,English 11,English 12,English (Oral test),AP English Language & Composition,Maths,Math 12,mathematical reasoning,Advanced Algebra,Algebra 1,Algebra 2,Anatomy & Physiology,Calculus / Vectors,AP Calculus/Pre Calculus,AP English Language & Composition.1,Creative Art-Drawing,Art,Health Science,Environmental Leadership,Modern US History,Robotics,Advanced Functions,Social Studies,Honors Precalculus,Pre Calculus,Chemistry Communication,Conceptual Physics,Mathematics.1,German,Spanish 3,Latin,History - Geography,Drawing & Designing,Business,Italian,AP Environmental Science,AP French Language,French 1,French 2,accounting,Government,Geometry,Chorus,Sports,History & Geography,Statistics,American History,US Government,Bible,Theology,Physical Education,Kirundi,Math Data Management,Trigonometry/PreCalculus,Marketing and Social Media,Political Science,Intergrated Science,Intro to Accounting & Finance,Principles of marketing,Life & Earth Science,Modern Language 1,Civic and Moral Education
2023,S84942d7be581b7b0,[B.Sc.] Business Administration,Sch016,Baccalauréat 1,2019,July,"French, History & Geography, Mathematics, Philosophy, Life and Earth Science",14.15/20,,,,35/100,,,,32/40,28/40,26/40,,,,,,,,64/80,,,30/40,,,,,,36/40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S2ffd22959a39cec8,[B.Sc.] Business Administration,Sch009,Baccalauréat,2018,July,"Maths, Life and Earth Science, Physics,/Chemistry, Written French, Oral French, Philosophy, History and Geography, Oral English, Physican Education and Sports ",10.85/20,,,,40,,,,6,64,16,,44.0,,,,,,,,,,14.0,16.0,5.0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Se74d0cce573f1d73,[B.Sc.] Electrical and Electronic Engineering,Sch008,,2018,July,"Earth and Life Sciences, Mathematics, Physical Science, French,Written English, History and Georgraphy, Philosophy, Physical Education and sport",14.79 / 20,,,13/20,15/20,,,,16/20,17/20,11/20,,,,,,,,17/20,,,10/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S8fe4a28f16ea585b,[B.Sc.] Management Information Systems,Sch011,French Bacc,2018,July,"Maths, Life and Earth Science, Physics,/Chemistry, Written French, Oral French, Philosophy, History and Geography, Oral English, Physican Education and Sports ",10/20,,,,44,,,,12,36,14,,36.0,,,,,,,,,,14.0,24.0,8.0,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S5937a092dced3aa1,[B.Sc.] Electrical and Electronic Engineering,Sch018,French Bacc,2016,June,"Mathematics, French, English, Biology, Chemistry, Physics, Philosophy, Histoty, Geography",79%,,,270/320,353/400,,,,,,133/160,,,,,,,,,,,330/400,,,,,,,122/160,277/320,249/320,266/320,148/160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Sac9fa01d575fc350,[B.Sc.] Business Administration,Sch005,French Bacc,2017,July,"English, French, Historie and Geographie, Mathematics, Philosophie",13/20,,,18/20,10/20,,,,,,,,,,,,,,,,,12/20,,,,,,,17/20,,,,,12/20,18/20,11/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S3f558bf7429eae10,[B.Sc.] Computer Science,Sch010,National Diploma,2019,September,"Mathematics, Physics, Biology",70%,,,200/320,,,,,,,,,,,,,,,,,,,,,,,,,,180/320,,228/320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332/400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Se9a2427edeee9cd5,[B.Sc.] Business Administration,Sch006,High School Diploma,2020,June,"Principles of Marketing, Intro to Accounting & Finance, Biology",3.47,,,B+,,,,,,,,,,,,,,,,,,,,,,,,,,B,B+,,,,,,,,,,,,,,,,B-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-,,,,,,,,,,,,,,,,B,B-,,,
2025,S359668feb8380e43,[B.Sc.] Business Administration,Sch022,High School Diploma,2021,May,"Mathematics, Science, Language Arts",2.73,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,73,81,,,,,,,,,,,,,,,72,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,
2025,S449a28dedff132e1,[B.Sc.] Computer Science,Sch015,,2020,July,"English, History, Philosophy",256/400,,,,55/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Sd1eb471d580cd876,[B.Sc.] Business Administration,Sch021,High School Diploma,2021,May,"Algebra, Biology, Geometry",2.34,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,
2025,Sc88af6cc23d28584,[B.Sc.] Business Administration,Sch021,High School Diploma,2021,May,"Algebra, Biology, Geometry",3.40,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Sf97c921779ffda16,[B.Sc.] Computer Engineering,Sch002,High School Diploma,2021,June,"Physics, Advanced Functions, Calculus & Vectors, ",85/100,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S9e34457ee5494806,[B.Sc.] Business Administration,Sch013,High School Diploma,2019,May,"Biology, Geography, Chemistry",3.6,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,A+,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Sdad9bcdb966e72b7,[B.Sc.] Computer Science,Sch012,High School Diploma,2020,May,"Chemistry, Biology, Economics, Government",3.368,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
2025,S60509a4587711375,[B.Sc.] Business Administration,Sch007,High School Diploma,2021,August,"Science, Mathematical Reasoning, Reasoning through Language Arts",607,,,,,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S2e0c1786a58eab4e,[B.Sc.] Business Administration,Sch004,High School Diploma,2021,August,"Fin. Accounting, Marketing, Business Leadership",B+,,,70/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Sd7365d5fc15a5a92,[B.Sc.] Computer Science,Sch001,High School Diploma,2021,,"Pre Calculus, Chemistry, English",3.66,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,S1daedcdb14119071,[B.Sc.] Computer Science,Sch019,International Baccalaureate (IB) Diploma,2021,July,"French, Mathematics, History, Physical Science",15.22,,,,39/60,,,,36/40,,,,,,,,,,36/60,,,24/40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34/40,30/40
2028,S5224177c246e0e97,[B.Sc.] Computer Science,Sch003,Other Official Exam,2024,June,"Mathematics, Philosophy, History & Geography",16.54/20,,,19/20,16/20,,,,16/20,11/20,13/20,,19/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,S0197308ad75e74cb,[B.Sc.] Business Administration,Sch014,International Baccalaureate (IB) Diploma,2024,,"English, History & Geography, ",13.33,,,45.3,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,S9a6d462cfa020ee6,[B.Sc.] Computer Science,Sch020,High School Diploma,2023,,"History & Geography, Science, English",14.5/20,,,36/40,55/100,40/80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,Scf7017a2f1a50882,[B.Sc.] Computer Science,Sch017,International Baccalaureate (IB) Diploma,2024,,"History & Geography, Science Education",10.89,,,,112,,,,36,,128,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
