Yeargroup,StudentRef,Proposed Major,High School,Exam Type,Exam Year,Exam Month,Elective Subjects,Points,Other,English A EE in English,English A: Lang & Lit. SL,English A: Lang & Lit HL,English A: Literature HL,English Lit. (HL),English A: Literature SL,Mis English A: Literature,Mis Economics (Eng),Mis Chemistry (Eng),Mis Mathematics (Eng),Mis French B,Extended Essay Economics (Eng),Theory of Knowledge,Mis ITGS (Eng),Maths (SL),English A: Lang and Literature SL,Swahili AB. SL,Swahili EE,Swahili A,French B SL,Economics EE in English,Economics HL in English,Biology HL in English,Business Management EE in English,Business Management HL in English,Economics SL in English,Global Politics HL in English,Biology SL in English,Hist. Africa HL in English,ITGS EE in English,Math. Studies SL in English,English A EE,ITGS (HL),Physics SL in English,Visual Arts EE in English,Visual Arts HL in English,Spanish AB. SL,Chemistry EE in English,Chemistry HL in English,Physics EE in English,Physics HL in English,Chemisty SL in English,Mathematics HL in English,Mathematics SL in English,Theory Knowl. TK in English,Geography EE in English,Geography HL in English,Computer SC. HL in English,Computer SC. SL in English,German AB SL,Further Maths,English,Mathematics,Biology,Chemistry,Physics,Geography,Computer Studies,Literature (English),French,Env. And Soc SL,History Africa and Middle East,Hist. Africa and Mid East HL in English,French hl,History Africa and Middle East HL,Music EE,Music HL,History EE,Swahili AB: SL,French AB. SL,Geography EE,Goegraphy HL in English,Business Management SL in English,Visual Arts SL,Spanish B. SL,Physics HL in English.1,Math. Studies,Mathematics Analysis and Appro HL in Eng,Mathematics Analysis and Appro SL in English,Mathematics Applications and I HL in English,Mathematics Applications and I SL in English,Geography SL in English,Computer Science EE in English,French A,Music EE in English,Music HL in English,Psychology,Hist. Africa & Mid. East,Chemistry SL in English,Swahili A: HL,Biology EE in English,Mathematics EE in English,Math Analysis,History Africa and Middle East HL in English,History EE in English ,French A: Lang and Literature SL in French,French & Literature,Kiswahili AB SL,Wild. Stidies Equality and Ineq EE in English,Theatre SL in English,Theatre EE in English,Geography SL in English.1,Soc. Cul. Anth. HL in English,History SL in English,Digital Soc. HL in English
2024,S0be8d0afa69feedc,[B.Sc.] Business Administration,Sch210,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Literature HL, Spanish AB SL, Business Management EE, Business Management HL, Economics HL, Env and Soc SL, Math Studies SL, TK",37.0,,,,,5.0,,,,,,,,,,,,,,,,,,7.0,,B,7.0,,,,,,5.0,,,,,,6.0,,,,,,,,C,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S9c230d6b202a8655,[B.Sc.] Mechanical Engineering,Sch213,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Literature SL, Spanish AB SL, Economics EE, Economics HL, Computer SC SL, Physics HL, Mathematics HL, TK",30.0,,,,,,,5.0,,,,,,,,,,,,,,,C,5.0,,,,,,,,,,,,,,,7.0,,,,3.0,,4.0,,B,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S1a53127de933ad97,[B.Sc.] Business Administration,Sch201,IB Diploma ,2020.0,May,"Biology, Mathematics, Chemistry, Georgraphy",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,,5.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Seceb0b3936a22d05,[B.Sc.] Mechanical Engineering,Sch213,IB Diploma ,2021.0,May,"Physics, Geography, Mathematics",33.0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,5.0,,6.0,,,,8.0,,,,,,,,,,,,,,,,6.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S3ac615e867400ba3,[B.Sc.] Mechanical Engineering,Sch213,IB Diploma,2021.0,May,"Physics, Geography, Mathematics",31.0,,,5,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,C,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
2025,S2ab3e0634026f5f4,[B.Sc.] Computer Engineering,Sch214,IB Diploma,2021.0,May,"Business Management, Physics, Mathematics",33.0,,,5,,,,,,,,,,,C,,,,,,,,,,,,,,,,,B,,,5.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S679fd3630e1e7ca2,[B.Sc.] Business Administration,Sch214,IB Diploma,2019.0,May,"Economics, Physics, Computer",30.0,,,6,,,,,,,,,,,,,,,,,,5.0,D,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,C,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S58226efb99d74c75,[B.Sc.] Business Administration,Sch214,IB Diploma,2021.0,May,"Business Management, Economics, Mathematics",34.0,,,5,,,,,,,,,,,B,,,,,,,4.0,C,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Sb7302fb65524ae2b,[B.Sc.] Computer Science,Sch214,IB Diploma,2021.0,May,"Computer Science, Physics, Env. And Soc",32.0,,,5,,,,,,,,,,,C,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,5.0,,,C,,,,,,,,,,,,,,,,,,,,,,
2025,S5c350b50acee15c2,[B.Sc.] Business Administration,Sch214,IB Diploma,2021.0,May,"Business Management, ITGS, Biology",34.0,,,5,,,,,,,,,,,C,,,,,,,5.0,,,5.0,,6.0,,,,,B,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Sd746885c5e5407b6,[B.Sc.] Business Administration,Sch214,iB Diploma - Course,2021.0,May," Business Management, Economics, Mathematics Application",26.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,S5572f6b9d4d8c00b,[B.Sc.] Business Administration,Sch213,International Baccalaureate (IB) Diploma,2021.0,May,"Economics, Geography, Biology",39.0,,,6,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,C,B,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,S4a824b3561499c2c,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2021.0,May,"Business Management, Env. And Soc, Music",27.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,,,,,,C,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,C,5.0,,,,,,,,,,,,,,,,,,,
2025,S97aa0cea7025d45d,[B.Sc.] Electrical and Electronic Engineering,Sch213,International Baccalaureate (IB) Diploma,2021.0,May,"Economics, Chemistry, Physics",28.0,,,5,,,,,,,,,,,,,,,,,,4.0,D,,,,,,,,,,,,,,,,,,,,,5.0,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S7ee0e74aa294adea,[B.Sc.] Business Administration,Sch213,International Baccalaureate (IB) Diploma,2021.0,May,"Geography, Economics, Chemistry",32.0,,,,4.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,A,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,S0a9e6f77e157553a,[B.Sc.] Business Administration,Sch213,International Baccalaureate (IB) Diploma,2021.0,May,"Geography, Economics, Chemistry",35.0,,,,5.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,5.0,,,,D,6.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S25f757c70b024f13,[B.Sc.] Business Administration,Sch213,International Baccalaureate (IB) Diploma,2021.0,May,"Economics, Computer Science, Visual Arts",33.0,,,4,,,,,,,,,,,B,,,,,,,,C,6.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Se6847f94549eb8f7,[B.Sc.] Computer Science,Sch214,International Baccalaureate (IB) Diploma,2021.0,May,"Business management, Computer Sc, Theory Knowl. ",31.0,,,6,,,,,,,,,,,,,,,,,,,,,,A,5.0,,,,,,,,,,,,4.0,,,,3.0,,,,B,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,S5e98999b026171bb,[B.Sc.] Computer Science,Sch214,International Baccalaureate (IB) Diploma,2021.0,May,"Geography, Computer Science, Physics",34.0,,,,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,B,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,C,,,,,,,,,,,,,,,,,,,,,,
2025,Scbdf2178cc9238ae,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2021.0,May,"Business management, Env. And Soc, Theory Knowl. ",26.0,,,A,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,C,,,5.0,,,,,,,,,,,,C,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,Sbb143aef9aa4afa6,[B.Sc.] Business Administration,Sch208,International Baccalaureate (IB) Diploma,2020.0,May,"Biology, Psychology, Math Studies",33.0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,7.0,,,5.0,5.0,,,,,,,,,,,,,,,,,
2025,Sb85eaea9c462ca97,[B.Sc.] Business Administration,Sch214,"IGCSE 'A' Level
International Baccalaureate (IB) Diploma",2021.0,May,"Economics, Biology, ITGS",34.0,,,,5.0,,,,,,,,,,,,,,,,,,B,5.0,,,,,,6.0,,,,,6.0,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,S2160a74c8f88d4e8,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2021.0,May,"Business management, Env. And Soc, ITGS",32.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,C,,,6.0,,,,,,,,,,,,C,,,,,,,,,,,,,,,,6.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S13ab3c5f0536cdb8,[B.Sc.] Business Administration,Sch213,International Baccalaureate (IB) Diploma,2021.0,May,"Geography, Economics, Biology",32.0,,,,,5.0,,,,,,,,,,,,,6.0,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,S1fada4f71d10a832,[B.Sc.] Computer Science,Sch213,International Baccalaureate (IB) Diploma,2021.0,May,"Economics, Physics, Computer",34.0,,,6,,,,,,,,,,,B,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,B,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S3303d5299162e16a,[B.Sc.] Computer Science,Sch213,International Baccalaureate (IB) Diploma,2021.0,May,"Geography, French, Biology",40.0,,,,5.0,,,,,,,,,,B,,,,,,,6.0,,,,,,,,6.0,,B,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,S92ea79588499bc8a,[B.Sc.] Business Administration,Sch203,International Baccalaureate (IB) Diploma,2021.0,May,"Economics, Physics, Business Management",24.0,,,4,,,,,,,,,,,,,,,,,,,D,4.0,,,5.0,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Sf6ee896ee9e8bc2c,[B.Sc.] Management Information Systems,Sch214,International Baccalaureate (IB) Diploma,2022.0,May ,"Business Management, Computer Sc, Mathematics",41.0,,,6.0,,,,,,,,,5.0,,,,,,,,,,,,,,7.0,,,,,,,,,7.0,,,,,,,,,,,A,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,B,,,,,,,,,,,,,,,,,,,,,,
2026,S13dc40f1ac04db1b,[B.Sc.] Business Administration,Sch213,International Baccalaureate (IB) Diploma,2022.0,May,"English, Geography, Theatre, ",35.0,6,,,5.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,B,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,,,,,
2026,Sfac6767d06bbbc95,[B.Sc.] Business Administration,Sch204,International Baccalaureate (IB) Diploma,2022.0,May,"English, Business Management, Economics",37.0,,,,6.0,,,,,,,,,,,,,,,,,5.0,,6.0,,C,7.0,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2026,S7e496eb271cead19,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2022.0,May ,"English, Business Management, ITGS",39.0,,,,6.0,,,,,,,,,,,,,,,,,6.0,,,,A,6.0,,,6.0,,,,,6.0,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2026,Sd02d94b77424ea10,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2022.0,May ,"English, ITGS, Theatre",27.0,6,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,B,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2026,Sa368c1d4ed209b38,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2022.0,May ,"Business Management, Chemistry, English ",,,,5.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,S77b5f0cbad60398b,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2022.0,May ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,S4919b61e5f800e53,[B.Sc.] Mechanical Engineering,Sch213,International Baccalaureate (IB) Diploma,2022.0,May ,"Chemistry, Physics, Mathematics ",31.0,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,,,5.0,,,,,,,,,,,,B,6.0,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,S2b1e63b08901e3f8,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2022.0,May ,"English, Business Management, History",40.0,,A,,7.0,,,,,,,,,,,,,,,,,6.0,,,,,6.0,,,6.0,,,,,,,,,,,,,,,,5.0,B,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,S00039f6fd1b74390,[B.Sc.] Mechanical Engineering,Sch203,"IGCSE 'A' Level
International Baccalaureate (IB) Diploma",2022.0,May ,"Economics, Physics, Mathematics",36.0,,,5.0,,,,,,,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,5.0,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
2026,Sfdcb5761290c385b,[B.Sc.] Computer Science,Sch214,International Baccalaureate (IB) Diploma,2022.0,May ,"Chemistry, Physics, Mathematics  ",,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,,3.0,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2026,S02947b236b94ce1f,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2022.0,May ,"English, Business Management, Economics",,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2026,S50fdf954c6c9a46e,[B.Sc.] Computer Science,Sch210,International Baccalaureate (IB) Diploma,2022.0,May ,"Business Management, ITGS, Mathematics ",29.0,,,,,,,5.0,,,,,,,,,,,,,,3.0,,,,,,,,,,B,,,6.0,4.0,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,S8ac4cc9c758df229,[B.Sc.] Business Administration,Sch203,International Baccalaureate (IB) Diploma,2022.0,May,"English, Business Management, ITGS",28.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,B,4.0,,,,,,,,5.0,,,,,,,,,,,,D,,,,,,,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2026,Sbdbb5656606ffa72,[B.Sc.] Business Administration,Sch213,International Baccalaureate (IB) Diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,S0ebdac99c5d28686,[B.Sc.] Business Administration,Sch215,International Baccalaureate (IB) Diploma,2020.0,June,"Chemistry, Physical & health Education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Sd324cfeb217c088b,[B.Sc.] Management Information Systems,Sch213,International Baccalaureate (IB) Diploma,2022.0,May,"Economics, Geography, Computer Science ",32.0,,,5.0,,,,,,,,,,,,,,,5.0,,,,,6.0,,,,,,,,C,,,,,,,,,,,,,,,B,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Sa47554c9a80514cf,[B.Sc.] Computer Science,Sch213,International Baccalaureate (IB) Diploma,2022.0,May  ,"Economics, Georgraphy, Computer Science",26.0,,,4.0,,,,,,,,,,,,,,,,,,,C,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,B,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,S6065ee82b750a5f9,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2021.0,May  ,"Music, History Africa & Mid East",,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
2026,S229f3a41e2b7f40d,[B.Sc.] Computer Science,Sch204,International Baccalaureate (IB) Diploma,2022.0,May  ,"Business Management, Computer Sc, Physics",26.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,4.0,,,,3.0,,,,C,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Sc2d28a195303d43a,[B.Sc.] Management Information Systems,Sch213,International Baccalaureate (IB) Diploma,2022.0,May ,"Economics, Georgraphy, Chemistry",31.0,,,6.0,,,,,,,,,,,,,,,,,,,C,7.0,,,,,,,,,,,,,,,4.0,,3.0,,,,,,C,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2026,Sc8603012d568ef5e,[B.Sc.] Mechanical Engineering,Sch211,International Baccalaureate (IB) Diploma,2022.0,May,"Ref Project, Mathematics ",,B,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2026,S5d2225afac0ba597,[B.Sc.] Mechanical Engineering,Sch211,International Baccalaureate (IB) Diploma,2022.0,May ,"Ref Project, Mathematics ",,C,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
